Key,Username,Version,List,Human,Lev0,Lev1,Lev2,Lev3,Lev4,Lev5
BICYCLE,A10SRAPSRT9,C,2,0,0,0,0,0,0,0
BOTTLE,A10SRAPSRT9,C,2,0,0,0,0,0,0,0
DREIDEL,A10SRAPSRT9,C,2,1,1,1,1,1,1,1
GEAR,A10SRAPSRT9,C,2,0,0,0,0,0,0,0
GYROSCOPE,A10SRAPSRT9,C,2,0,0,0,0,0,0,0
HURRICANE,A10SRAPSRT9,C,2,0,0,0,0,0,0,0
ORB,A10SRAPSRT9,C,2,0,0,0,0,0,0,0
PINWHEEL,A10SRAPSRT9,C,2,1,1,1,1,1,1,1
PROPELLER,A10SRAPSRT9,C,2,0,0,0,0,0,0,0
RECORD,A10SRAPSRT9,C,2,0,0,0,0,0,0,0
ROTISSERIE,A10SRAPSRT9,C,2,1,1,1,1,1,1,1
ROULETTE,A10SRAPSRT9,C,2,0,0,0,0,0,0,0
SATELLITE,A10SRAPSRT9,C,2,1,1,1,1,1,1,1
SPHERE,A10SRAPSRT9,C,2,0,0,0,0,0,0,0
SPIRAL,A10SRAPSRT9,C,2,0,0,0,0,0,0,0
SPOOL,A10SRAPSRT9,C,2,0,0,0,0,0,0,0
TOP,A10SRAPSRT9,C,2,0,0,0,0,0,0,0
TORNADO,A10SRAPSRT9,C,2,0,0,0,0,0,0,0
WINDMILL,A10SRAPSRT9,C,2,0,0,0,0,0,0,0
YO-YO,A10SRAPSRT9,C,2,1,1,1,1,1,1,1
BARN,A10SRAPSRT9,C,6,0,0,0,0,0,0,0
BASEBALL BAT,A10SRAPSRT9,C,6,0,0,0,0,0,0,0
BENCH,A10SRAPSRT9,C,6,1,1,1,1,1,1,1
BOOMERANG,A10SRAPSRT9,C,6,0,0,0,0,0,0,0
CABINET,A10SRAPSRT9,C,6,0,0,0,0,0,0,0
CHAIR,A10SRAPSRT9,C,6,0,0,0,0,0,0,0
CLOGS,A10SRAPSRT9,C,6,0,0,0,0,0,0,0
DESK,A10SRAPSRT9,C,6,1,1,1,1,1,1,1
DOCK,A10SRAPSRT9,C,6,1,1,1,1,1,1,1
DOOR,A10SRAPSRT9,C,6,0,0,0,0,0,0,0
GAZEBO,A10SRAPSRT9,C,6,0,0,0,0,0,0,0
HOUSE,A10SRAPSRT9,C,6,0,0,0,0,0,0,0
PENCIL,A10SRAPSRT9,C,6,0,0,0,0,0,0,0
ROCKING HORSE,A10SRAPSRT9,C,6,0,0,0,0,0,0,0
RULER,A10SRAPSRT9,C,6,0,0,0,0,0,0,0
SHELF,A10SRAPSRT9,C,6,0,0,0,0,0,0,0
SHIP,A10SRAPSRT9,C,6,1,1,1,1,1,1,1
SLED,A10SRAPSRT9,C,6,0,0,0,0,0,0,0
STAIRS,A10SRAPSRT9,C,6,0,0,0,0,0,0,0
TABLE,A10SRAPSRT9,C,6,0,0,0,0,0,0,0
BICYCLE,A11HVP5RIGS,E,2,0,0,0,0,0,0,0
BOTTLE,A11HVP5RIGS,E,2,0,0,0,0,0,0,0
DREIDEL,A11HVP5RIGS,E,2,0,0,0,0,0,0,0
GEAR,A11HVP5RIGS,E,2,0,0,0,0,0,0,0
GYROSCOPE,A11HVP5RIGS,E,2,1,1,1,1,1,1,1
HURRICANE,A11HVP5RIGS,E,2,1,1,1,1,1,1,1
ORB,A11HVP5RIGS,E,2,0,0,0,0,0,0,0
PINWHEEL,A11HVP5RIGS,E,2,0,0,0,0,0,0,0
PROPELLER,A11HVP5RIGS,E,2,1,1,1,1,1,1,1
RECORD,A11HVP5RIGS,E,2,0,0,0,0,0,0,0
ROTISSERIE,A11HVP5RIGS,E,2,0,0,0,0,0,0,0
ROULETTE,A11HVP5RIGS,E,2,0,0,0,0,0,0,0
SATELLITE,A11HVP5RIGS,E,2,0,0,0,0,0,0,0
SPHERE,A11HVP5RIGS,E,2,0,0,0,0,0,0,0
SPIRAL,A11HVP5RIGS,E,2,1,1,1,1,1,1,1
SPOOL,A11HVP5RIGS,E,2,0,0,0,0,0,0,0
TOP,A11HVP5RIGS,E,2,0,0,0,0,0,0,0
TORNADO,A11HVP5RIGS,E,2,1,1,1,1,1,1,1
WINDMILL,A11HVP5RIGS,E,2,1,1,1,1,1,1,1
YO-YO,A11HVP5RIGS,E,2,1,1,1,1,1,1,1
BARN,A11HVP5RIGS,E,6,0,0,0,0,0,0,0
BASEBALL BAT,A11HVP5RIGS,E,6,0,0,0,0,0,0,0
BENCH,A11HVP5RIGS,E,6,1,1,1,1,1,1,1
BOOMERANG,A11HVP5RIGS,E,6,1,1,1,1,1,1,1
CABINET,A11HVP5RIGS,E,6,1,1,1,1,1,1,1
CHAIR,A11HVP5RIGS,E,6,1,1,1,1,1,1,1
CLOGS,A11HVP5RIGS,E,6,1,1,1,1,1,1,1
DESK,A11HVP5RIGS,E,6,1,1,1,1,1,1,1
DOCK,A11HVP5RIGS,E,6,0,0,0,0,0,0,0
DOOR,A11HVP5RIGS,E,6,1,1,1,1,1,1,1
GAZEBO,A11HVP5RIGS,E,6,0,0,0,0,0,0,0
HOUSE,A11HVP5RIGS,E,6,1,1,1,1,1,1,1
PENCIL,A11HVP5RIGS,E,6,0,0,0,0,0,0,0
ROCKING HORSE,A11HVP5RIGS,E,6,1,1,1,1,1,1,1
RULER,A11HVP5RIGS,E,6,1,1,1,1,1,1,1
SHELF,A11HVP5RIGS,E,6,0,0,0,0,0,0,0
SHIP,A11HVP5RIGS,E,6,0,0,0,0,0,0,0
SLED,A11HVP5RIGS,E,6,0,0,0,0,0,0,0
STAIRS,A11HVP5RIGS,E,6,1,1,1,1,1,1,1
TABLE,A11HVP5RIGS,E,6,0,0,0,0,0,0,0
BICYCLE,A12GQ323JHYS9Q,A,2,1,1,1,1,1,1,1
BOTTLE,A12GQ323JHYS9Q,A,2,0,0,0,0,0,0,0
DREIDEL,A12GQ323JHYS9Q,A,2,0,0,0,0,0,0,0
GEAR,A12GQ323JHYS9Q,A,2,0,0,0,0,0,0,0
GYROSCOPE,A12GQ323JHYS9Q,A,2,0,0,0,0,0,0,0
HURRICANE,A12GQ323JHYS9Q,A,2,0,0,0,0,0,0,0
ORB,A12GQ323JHYS9Q,A,2,0,0,0,0,0,0,0
PINWHEEL,A12GQ323JHYS9Q,A,2,0,0,0,0,0,0,0
PROPELLER,A12GQ323JHYS9Q,A,2,1,1,1,1,1,1,1
RECORD,A12GQ323JHYS9Q,A,2,0,0,0,0,0,0,0
ROTISSERIE,A12GQ323JHYS9Q,A,2,0,0,0,0,0,0,0
ROULETTE,A12GQ323JHYS9Q,A,2,1,1,1,1,1,1,1
SATELLITE,A12GQ323JHYS9Q,A,2,1,1,1,1,1,1,1
SPHERE,A12GQ323JHYS9Q,A,2,1,1,1,1,1,1,1
SPIRAL,A12GQ323JHYS9Q,A,2,0,0,0,0,0,0,0
SPOOL,A12GQ323JHYS9Q,A,2,0,0,0,0,0,0,0
TOP,A12GQ323JHYS9Q,A,2,0,0,0,0,0,0,0
TORNADO,A12GQ323JHYS9Q,A,2,0,0,0,0,0,0,0
WINDMILL,A12GQ323JHYS9Q,A,2,0,0,0,0,0,0,0
YO-YO,A12GQ323JHYS9Q,A,2,1,1,1,1,1,1,1
BARN,A12GQ323JHYS9Q,A,6,0,0,0,0,0,0,0
BASEBALL BAT,A12GQ323JHYS9Q,A,6,1,1,1,1,1,1,1
BENCH,A12GQ323JHYS9Q,A,6,0,0,0,0,0,0,0
BOOMERANG,A12GQ323JHYS9Q,A,6,1,1,1,1,1,1,1
CABINET,A12GQ323JHYS9Q,A,6,0,0,0,0,0,0,0
CHAIR,A12GQ323JHYS9Q,A,6,0,0,0,0,0,0,0
CLOGS,A12GQ323JHYS9Q,A,6,0,0,0,0,0,0,0
DESK,A12GQ323JHYS9Q,A,6,0,0,0,0,0,0,0
DOCK,A12GQ323JHYS9Q,A,6,1,1,1,1,1,1,1
DOOR,A12GQ323JHYS9Q,A,6,0,0,0,0,0,0,0
GAZEBO,A12GQ323JHYS9Q,A,6,0,0,0,0,0,0,0
HOUSE,A12GQ323JHYS9Q,A,6,0,0,0,0,0,0,0
PENCIL,A12GQ323JHYS9Q,A,6,1,1,1,1,1,1,1
ROCKING HORSE,A12GQ323JHYS9Q,A,6,1,1,1,1,1,1,1
RULER,A12GQ323JHYS9Q,A,6,0,0,0,0,0,0,0
SHELF,A12GQ323JHYS9Q,A,6,0,0,0,0,0,0,0
SHIP,A12GQ323JHYS9Q,A,6,1,1,1,1,1,1,1
SLED,A12GQ323JHYS9Q,A,6,0,0,0,0,0,0,0
STAIRS,A12GQ323JHYS9Q,A,6,0,0,0,0,0,0,0
TABLE,A12GQ323JHYS9Q,A,6,1,1,1,1,1,1,1
BICYCLE,A13KYLCBVG5BEB,A,2,1,1,1,1,1,1,1
BOTTLE,A13KYLCBVG5BEB,A,2,0,0,0,0,0,0,0
DREIDEL,A13KYLCBVG5BEB,A,2,0,0,0,0,0,0,0
GEAR,A13KYLCBVG5BEB,A,2,1,1,1,1,1,1,1
GYROSCOPE,A13KYLCBVG5BEB,A,2,0,0,0,0,0,0,0
HURRICANE,A13KYLCBVG5BEB,A,2,1,1,1,1,1,1,1
ORB,A13KYLCBVG5BEB,A,2,1,1,1,1,1,1,1
PINWHEEL,A13KYLCBVG5BEB,A,2,1,1,1,1,1,1,1
PROPELLER,A13KYLCBVG5BEB,A,2,0,0,0,0,0,0,0
RECORD,A13KYLCBVG5BEB,A,2,1,1,1,1,1,1,1
ROTISSERIE,A13KYLCBVG5BEB,A,2,1,1,1,1,1,1,1
ROULETTE,A13KYLCBVG5BEB,A,2,0,0,0,0,0,0,0
SATELLITE,A13KYLCBVG5BEB,A,2,0,0,0,0,0,0,0
