Key,Username,Version,List,Human,Lev0,Lev1,Lev2,Lev3,Lev4,Lev5
SPHERE,A13KYLCBVG5BEB,A,2,1,1,1,1,1,1,1
SPIRAL,A13KYLCBVG5BEB,A,2,0,0,0,0,0,0,0
SPOOL,A13KYLCBVG5BEB,A,2,0,0,0,0,0,0,0
TOP,A13KYLCBVG5BEB,A,2,0,0,0,0,0,0,0
TORNADO,A13KYLCBVG5BEB,A,2,1,1,1,1,1,1,1
WINDMILL,A13KYLCBVG5BEB,A,2,0,0,0,0,0,0,0
YO-YO,A13KYLCBVG5BEB,A,2,1,0,0,0,0,0,0
BARN,A13KYLCBVG5BEB,A,6,1,1,1,1,1,1,1
BASEBALL BAT,A13KYLCBVG5BEB,A,6,1,1,1,1,1,1,1
BENCH,A13KYLCBVG5BEB,A,6,1,1,1,1,1,1,1
BOOMERANG,A13KYLCBVG5BEB,A,6,0,0,0,0,0,0,0
CABINET,A13KYLCBVG5BEB,A,6,1,1,1,1,1,1,1
CHAIR,A13KYLCBVG5BEB,A,6,1,1,1,1,1,1,1
CLOGS,A13KYLCBVG5BEB,A,6,0,0,0,0,0,0,0
DESK,A13KYLCBVG5BEB,A,6,1,1,1,1,1,1,1
DOCK,A13KYLCBVG5BEB,A,6,1,1,1,1,1,1,1
DOOR,A13KYLCBVG5BEB,A,6,1,1,1,1,1,1,1
GAZEBO,A13KYLCBVG5BEB,A,6,0,0,0,0,0,0,0
HOUSE,A13KYLCBVG5BEB,A,6,1,1,1,1,1,1,1
PENCIL,A13KYLCBVG5BEB,A,6,1,1,1,1,1,1,1
ROCKING HORSE,A13KYLCBVG5BEB,A,6,1,1,1,1,1,1,1
RULER,A13KYLCBVG5BEB,A,6,1,1,1,1,1,1,1
SHELF,A13KYLCBVG5BEB,A,6,0,0,0,0,0,0,0
SHIP,A13KYLCBVG5BEB,A,6,0,0,0,0,0,0,0
SLED,A13KYLCBVG5BEB,A,6,0,0,0,0,0,0,0
STAIRS,A13KYLCBVG5BEB,A,6,1,1,1,1,1,1,1
TABLE,A13KYLCBVG5BEB,A,6,1,1,1,1,1,1,1
BICYCLE,A14ATQ0J5BC,A,2,0,0,0,0,0,0,0
BOTTLE,A14ATQ0J5BC,A,2,1,1,1,1,1,1,1
DREIDEL,A14ATQ0J5BC,A,2,0,0,0,0,0,0,0
GEAR,A14ATQ0J5BC,A,2,0,0,0,0,0,0,0
GYROSCOPE,A14ATQ0J5BC,A,2,1,1,1,1,1,1,1
HURRICANE,A14ATQ0J5BC,A,2,1,1,1,1,1,1,1
ORB,A14ATQ0J5BC,A,2,1,1,1,1,1,1,1
PINWHEEL,A14ATQ0J5BC,A,2,0,0,0,0,0,0,0
PROPELLER,A14ATQ0J5BC,A,2,0,0,0,0,0,0,0
RECORD,A14ATQ0J5BC,A,2,1,1,1,1,1,1,1
ROTISSERIE,A14ATQ0J5BC,A,2,0,0,0,0,0,0,0
ROULETTE,A14ATQ0J5BC,A,2,1,1,1,1,1,1,1
SATELLITE,A14ATQ0J5BC,A,2,1,1,1,1,1,1,1
SPHERE,A14ATQ0J5BC,A,2,0,0,0,0,0,0,0
SPIRAL,A14ATQ0J5BC,A,2,0,0,0,0,0,0,0
SPOOL,A14ATQ0J5BC,A,2,0,0,0,0,0,0,0
TOP,A14ATQ0J5BC,A,2,1,1,1,1,1,1,1
TORNADO,A14ATQ0J5BC,A,2,1,1,1,1,1,1,1
WINDMILL,A14ATQ0J5BC,A,2,0,0,0,0,0,0,0
YO-YO,A14ATQ0J5BC,A,2,1,1,1,1,1,1,1
BARN,A14ATQ0J5BC,A,6,1,1,1,1,1,1,1
BASEBALL BAT,A14ATQ0J5BC,A,6,0,0,0,0,0,0,0
BENCH,A14ATQ0J5BC,A,6,0,0,0,0,0,0,0
BOOMERANG,A14ATQ0J5BC,A,6,0,0,0,0,0,0,0
CABINET,A14ATQ0J5BC,A,6,1,1,1,1,1,1,1
CHAIR,A14ATQ0J5BC,A,6,1,1,1,1,1,1,1
CLOGS,A14ATQ0J5BC,A,6,0,0,0,0,0,0,0
DESK,A14ATQ0J5BC,A,6,1,1,1,1,1,1,1
DOCK,A14ATQ0J5BC,A,6,1,1,1,1,1,1,1
DOOR,A14ATQ0J5BC,A,6,1,1,1,1,1,1,1
GAZEBO,A14ATQ0J5BC,A,6,0,0,0,0,0,0,0
HOUSE,A14ATQ0J5BC,A,6,1,1,1,1,1,1,1
PENCIL,A14ATQ0J5BC,A,6,1,1,1,1,1,1,1
ROCKING HORSE,A14ATQ0J5BC,A,6,0,0,0,0,0,0,0
RULER,A14ATQ0J5BC,A,6,0,0,0,0,0,0,0
SHELF,A14ATQ0J5BC,A,6,1,1,1,1,1,1,1
SHIP,A14ATQ0J5BC,A,6,1,1,1,1,1,1,1
SLED,A14ATQ0J5BC,A,6,0,0,0,0,0,0,0
STAIRS,A14ATQ0J5BC,A,6,1,1,1,1,1,1,1
TABLE,A14ATQ0J5BC,A,6,1,1,1,1,1,1,1
BRUSH,A14LW6D1Q8,D,2,1,1,1,1,1,1,1
CANDLE,A14LW6D1Q8,D,2,0,0,0,0,0,0,0
COMB,A14LW6D1Q8,D,2,1,1,1,1,1,1,1
CURLING IRON,A14LW6D1Q8,D,2,1,1,1,1,1,1,1
DEODORANT,A14LW6D1Q8,D,2,0,0,0,0,0,0,0
FAUCET,A14LW6D1Q8,D,2,0,0,0,0,0,0,0
HAIR DRYER,A14LW6D1Q8,D,2,1,1,1,1,1,1,1
LOOFAH,A14LW6D1Q8,D,2,1,1,1,1,1,1,1
LOTION,A14LW6D1Q8,D,2,1,1,1,1,1,1,1
MAT,A14LW6D1Q8,D,2,0,0,0,0,0,0,0
MEDICINE,A14LW6D1Q8,D,2,1,1,1,1,1,1,1
MOUTHWASH,A14LW6D1Q8,D,2,0,0,0,0,0,0,0
PLUNGER,A14LW6D1Q8,D,2,0,0,0,0,0,0,0
SCALE,A14LW6D1Q8,D,2,1,1,1,1,1,1,1
SHAMPOO,A14LW6D1Q8,D,2,1,1,1,1,1,1,1
SHAVER,A14LW6D1Q8,D,2,0,0,0,0,0,0,0
SOAP,A14LW6D1Q8,D,2,0,0,0,0,0,0,0
TILE,A14LW6D1Q8,D,2,1,1,1,1,1,1,1
TWEEZERS,A14LW6D1Q8,D,2,0,0,0,0,0,0,0
VANITY,A14LW6D1Q8,D,2,1,1,1,1,1,1,1
ALARM,A14LW6D1Q8,D,3,0,0,0,0,0,0,0
BARS,A14LW6D1Q8,D,3,0,0,1,1,1,1,1
BUNKBED,A14LW6D1Q8,D,3,1,1,1,1,1,1,1
CAFETERIA,A14LW6D1Q8,D,3,0,0,0,0,0,0,0
CELL,A14LW6D1Q8,D,3,0,0,0,0,0,0,0
CHAIN,A14LW6D1Q8,D,3,1,1,1,1,1,1,1
CHAINLINK,A14LW6D1Q8,D,3,1,1,1,1,1,1,1
CIGARETTE,A14LW6D1Q8,D,3,0,0,0,0,0,0,0
DETECTIVE,A14LW6D1Q8,D,3,1,1,1,1,1,1,1
FIGHTS,A14LW6D1Q8,D,3,1,0,1,1,1,1,1
FINGERPRINTS,A14LW6D1Q8,D,3,0,0,0,0,0,0,0
GUARD,A14LW6D1Q8,D,3,0,0,0,0,0,0,0
INMATE,A14LW6D1Q8,D,3,1,1,1,1,1,1,1
NEEDLE,A14LW6D1Q8,D,3,0,0,0,0,0,0,0
OFFICER,A14LW6D1Q8,D,3,0,0,0,0,0,0,0
PISTOL,A14LW6D1Q8,D,3,0,0,0,0,0,0,0
SHACKLE,A14LW6D1Q8,D,3,0,0,0,0,0,0,0
TATTOO,A14LW6D1Q8,D,3,1,1,1,1,1,1,1
TOWER,A14LW6D1Q8,D,3,0,0,0,0,0,0,0
WEIGHTS,A14LW6D1Q8,D,3,0,0,0,0,0,0,0
BRUSH,A14OTLWWDLIHG0,F,2,0,0,0,0,0,0,0
CANDLE,A14OTLWWDLIHG0,F,2,0,0,0,0,0,0,0
COMB,A14OTLWWDLIHG0,F,2,1,1,1,1,1,1,1
CURLING IRON,A14OTLWWDLIHG0,F,2,0,0,0,0,0,0,0
DEODORANT,A14OTLWWDLIHG0,F,2,1,1,1,1,1,1,1
FAUCET,A14OTLWWDLIHG0,F,2,0,0,0,0,0,0,0
HAIR DRYER,A14OTLWWDLIHG0,F,2,0,0,0,0,0,0,0
LOOFAH,A14OTLWWDLIHG0,F,2,0,0,0,0,0,0,0
LOTION,A14OTLWWDLIHG0,F,2,0,0,0,0,0,0,0
MAT,A14OTLWWDLIHG0,F,2,0,0,0,0,0,0,0
MEDICINE,A14OTLWWDLIHG0,F,2,0,0,0,0,0,0,0
MOUTHWASH,A14OTLWWDLIHG0,F,2,0,0,0,0,0,0,0
PLUNGER,A14OTLWWDLIHG0,F,2,0,0,0,0,0,0,0
SCALE,A14OTLWWDLIHG0,F,2,0,0,0,0,0,0,0
SHAMPOO,A14OTLWWDLIHG0,F,2,1,1,1,1,1,1,1
SHAVER,A14OTLWWDLIHG0,F,2,0,0,0,0,0,0,0
SOAP,A14OTLWWDLIHG0,F,2,1,1,1,1,1,1,1
TILE,A14OTLWWDLIHG0,F,2,1,1,1,1,1,1,1
TWEEZERS,A14OTLWWDLIHG0,F,2,0,0,0,0,0,0,0
VANITY,A14OTLWWDLIHG0,F,2,0,0,0,0,0,0,0
ALARM,A14OTLWWDLIHG0,F,3,0,0,0,0,0,0,0
BARS,A14OTLWWDLIHG0,F,3,1,1,1,1,1,1,1
BUNKBED,A14OTLWWDLIHG0,F,3,0,0,0,0,0,0,0
CAFETERIA,A14OTLWWDLIHG0,F,3,1,1,1,1,1,1,1
CELL,A14OTLWWDLIHG0,F,3,1,1,1,1,1,1,1
CHAIN,A14OTLWWDLIHG0,F,3,0,0,0,0,0,0,0
CHAINLINK,A14OTLWWDLIHG0,F,3,0,0,0,0,0,0,0
CIGARETTE,A14OTLWWDLIHG0,F,3,1,0,0,0,0,0,0
DETECTIVE,A14OTLWWDLIHG0,F,3,1,1,1,1,1,1,1
FIGHTS,A14OTLWWDLIHG0,F,3,0,0,0,0,0,0,0
FINGERPRINTS,A14OTLWWDLIHG0,F,3,0,0,0,0,0,0,0
GUARD,A14OTLWWDLIHG0,F,3,0,0,0,0,0,0,0
INMATE,A14OTLWWDLIHG0,F,3,0,0,0,0,0,0,0
NEEDLE,A14OTLWWDLIHG0,F,3,1,1,1,1,1,1,1
OFFICER,A14OTLWWDLIHG0,F,3,0,0,0,0,0,0,0
PISTOL,A14OTLWWDLIHG0,F,3,0,0,0,0,0,0,0
SHACKLE,A14OTLWWDLIHG0,F,3,0,0,0,0,0,0,0
TATTOO,A14OTLWWDLIHG0,F,3,1,1,1,1,1,1,1
TOWER,A14OTLWWDLIHG0,F,3,1,1,1,1,1,1,1
WEIGHTS,A14OTLWWDLIHG0,F,3,0,0,0,0,0,0,0
BRUSH,A14QSZG9TSDO3Z,B,2,0,0,0,0,0,0,0
CANDLE,A14QSZG9TSDO3Z,B,2,0,0,0,0,0,0,0
COMB,A14QSZG9TSDO3Z,B,2,0,0,0,0,0,0,0
CURLING IRON,A14QSZG9TSDO3Z,B,2,1,1,1,1,1,1,1
DEODORANT,A14QSZG9TSDO3Z,B,2,1,1,1,1,1,1,1
FAUCET,A14QSZG9TSDO3Z,B,2,1,1,1,1,1,1,1
HAIR DRYER,A14QSZG9TSDO3Z,B,2,0,0,0,0,0,0,0
LOOFAH,A14QSZG9TSDO3Z,B,2,1,1,1,1,1,1,1
LOTION,A14QSZG9TSDO3Z,B,2,0,0,0,0,0,0,0
MAT,A14QSZG9TSDO3Z,B,2,1,1,1,1,1,1,1
MEDICINE,A14QSZG9TSDO3Z,B,2,0,0,0,0,0,0,0
MOUTHWASH,A14QSZG9TSDO3Z,B,2,0,0,0,0,0,0,0
PLUNGER,A14QSZG9TSDO3Z,B,2,0,0,0,0,0,0,0
SCALE,A14QSZG9TSDO3Z,B,2,0,0,0,0,0,0,0
SHAMPOO,A14QSZG9TSDO3Z,B,2,1,1,1,1,1,1,1
SHAVER,A14QSZG9TSDO3Z,B,2,1,1,1,1,1,1,1
SOAP,A14QSZG9TSDO3Z,B,2,1,1,1,1,1,1,1
TILE,A14QSZG9TSDO3Z,B,2,1,1,1,1,1,1,1
TWEEZERS,A14QSZG9TSDO3Z,B,2,1,1,1,1,1,1,1
VANITY,A14QSZG9TSDO3Z,B,2,1,1,1,1,1,1,1
ALARM,A14QSZG9TSDO3Z,B,3,0,0,0,0,0,0,0
BARS,A14QSZG9TSDO3Z,B,3,1,1,1,1,1,1,1
BUNKBED,A14QSZG9TSDO3Z,B,3,0,0,0,0,0,0,0
CAFETERIA,A14QSZG9TSDO3Z,B,3,0,0,0,0,0,0,0
CELL,A14QSZG9TSDO3Z,B,3,0,0,0,0,0,0,0
CHAIN,A14QSZG9TSDO3Z,B,3,1,0,0,0,0,0,0
CHAINLINK,A14QSZG9TSDO3Z,B,3,0,0,0,0,0,0,0
CIGARETTE,A14QSZG9TSDO3Z,B,3,0,0,0,0,0,0,0
DETECTIVE,A14QSZG9TSDO3Z,B,3,0,0,0,0,0,0,0
FIGHTS,A14QSZG9TSDO3Z,B,3,0,0,0,0,0,0,0
FINGERPRINTS,A14QSZG9TSDO3Z,B,3,0,0,0,0,0,0,0
GUARD,A14QSZG9TSDO3Z,B,3,1,1,1,1,1,1,1
INMATE,A14QSZG9TSDO3Z,B,3,0,0,0,0,0,0,0
NEEDLE,A14QSZG9TSDO3Z,B,3,0,0,0,0,0,0,0
OFFICER,A14QSZG9TSDO3Z,B,3,0,0,0,0,0,0,0
PISTOL,A14QSZG9TSDO3Z,B,3,1,1,1,1,1,1,1
SHACKLE,A14QSZG9TSDO3Z,B,3,1,1,1,1,1,1,1
TATTOO,A14QSZG9TSDO3Z,B,3,1,1,1,1,1,1,1
TOWER,A14QSZG9TSDO3Z,B,3,1,1,1,1,1,1,1
WEIGHTS,A14QSZG9TSDO3Z,B,3,1,1,1,1,1,1,1
BRUSH,A18MC27WT,B,2,1,1,1,1,1,1,1
CANDLE,A18MC27WT,B,2,1,1,1,1,1,1,1
COMB,A18MC27WT,B,2,1,1,1,1,1,1,1
CURLING IRON,A18MC27WT,B,2,0,0,0,0,0,0,0
DEODORANT,A18MC27WT,B,2,0,0,0,0,0,0,0
FAUCET,A18MC27WT,B,2,0,0,0,0,0,0,0
HAIR DRYER,A18MC27WT,B,2,0,0,0,0,0,0,0
LOOFAH,A18MC27WT,B,2,0,0,0,0,0,0,0
LOTION,A18MC27WT,B,2,1,1,1,1,1,1,1
MAT,A18MC27WT,B,2,0,0,0,0,0,0,0
MEDICINE,A18MC27WT,B,2,1,1,1,1,1,1,1
MOUTHWASH,A18MC27WT,B,2,1,1,1,1,1,1,1
PLUNGER,A18MC27WT,B,2,0,0,0,0,0,0,0
SCALE,A18MC27WT,B,2,0,0,0,0,0,0,0
SHAMPOO,A18MC27WT,B,2,0,0,0,0,0,0,0
SHAVER,A18MC27WT,B,2,1,1,1,1,1,1,1
SOAP,A18MC27WT,B,2,0,0,0,0,0,0,0
TILE,A18MC27WT,B,2,0,0,0,0,0,0,0
TWEEZERS,A18MC27WT,B,2,0,0,0,0,0,0,0
VANITY,A18MC27WT,B,2,0,0,0,0,0,0,0
ALARM,A18MC27WT,B,3,1,1,1,1,1,1,1
BARS,A18MC27WT,B,3,0,0,0,0,0,0,0
BUNKBED,A18MC27WT,B,3,1,1,1,1,1,1,1
CAFETERIA,A18MC27WT,B,3,0,0,0,0,0,0,0
CELL,A18MC27WT,B,3,1,1,1,1,1,1,1
CHAIN,A18MC27WT,B,3,0,0,0,0,0,0,0
CHAINLINK,A18MC27WT,B,3,0,0,0,0,0,0,0
CIGARETTE,A18MC27WT,B,3,0,0,0,0,0,0,0
DETECTIVE,A18MC27WT,B,3,1,1,1,1,1,1,1
FIGHTS,A18MC27WT,B,3,0,0,0,0,0,0,0
FINGERPRINTS,A18MC27WT,B,3,0,0,0,0,0,0,0
GUARD,A18MC27WT,B,3,1,1,1,1,1,1,1
INMATE,A18MC27WT,B,3,1,1,1,1,1,1,1
NEEDLE,A18MC27WT,B,3,1,1,1,1,1,1,1
OFFICER,A18MC27WT,B,3,0,0,0,0,0,0,0
PISTOL,A18MC27WT,B,3,0,0,0,0,0,0,0
SHACKLE,A18MC27WT,B,3,0,0,0,0,0,0,0
TATTOO,A18MC27WT,B,3,0,0,0,0,0,0,0
TOWER,A18MC27WT,B,3,1,1,1,1,1,1,1
WEIGHTS,A18MC27WT,B,3,0,0,0,0,0,0,0
BRUSH,A1E610OYLMKW82,F,2,1,1,1,1,1,1,1
CANDLE,A1E610OYLMKW82,F,2,0,0,0,0,0,0,0
COMB,A1E610OYLMKW82,F,2,1,1,1,1,1,1,1
CURLING IRON,A1E610OYLMKW82,F,2,1,1,1,1,1,1,1
DEODORANT,A1E610OYLMKW82,F,2,0,0,0,0,0,0,0
FAUCET,A1E610OYLMKW82,F,2,0,0,0,0,0,0,0
HAIR DRYER,A1E610OYLMKW82,F,2,1,1,1,1,1,1,1
LOOFAH,A1E610OYLMKW82,F,2,0,0,0,0,0,0,0
LOTION,A1E610OYLMKW82,F,2,1,1,1,1,1,1,1
MAT,A1E610OYLMKW82,F,2,0,0,0,0,0,0,0
MEDICINE,A1E610OYLMKW82,F,2,0,0,0,0,0,0,0
MOUTHWASH,A1E610OYLMKW82,F,2,1,1,1,1,1,1,1
PLUNGER,A1E610OYLMKW82,F,2,1,1,1,1,1,1,1
SCALE,A1E610OYLMKW82,F,2,0,0,0,0,0,0,0
SHAMPOO,A1E610OYLMKW82,F,2,1,1,1,1,1,1,1
SHAVER,A1E610OYLMKW82,F,2,1,1,1,1,1,1,1
SOAP,A1E610OYLMKW82,F,2,1,1,1,1,1,1,1
TILE,A1E610OYLMKW82,F,2,0,0,0,0,0,0,0
TWEEZERS,A1E610OYLMKW82,F,2,0,0,0,0,0,0,0
VANITY,A1E610OYLMKW82,F,2,0,0,0,0,0,0,0
ALARM,A1E610OYLMKW82,F,3,0,0,0,0,0,0,0
