Key,Username,Version,List,list_type,Human,Lev0,Lev1,Lev2,Lev3,Lev4,Lev5
ACRE,A10SRAPSRT9,C,3,Unrel,1,1,1,1,1,1,1
BISHOP,A10SRAPSRT9,C,3,Unrel,0,0,0,0,0,0,0
CANDY,A10SRAPSRT9,C,3,Unrel,0,0,0,0,0,0,0
CANTEEN,A10SRAPSRT9,C,3,Unrel,0,0,0,0,0,0,0
DEBT,A10SRAPSRT9,C,3,Unrel,0,0,0,0,0,0,0
DESERT,A10SRAPSRT9,C,3,Unrel,0,0,0,0,0,0,0
EMPRESS,A10SRAPSRT9,C,3,Unrel,0,0,0,0,0,0,0
EPISODE,A10SRAPSRT9,C,3,Unrel,0,0,0,0,0,0,0
HARVEST,A10SRAPSRT9,C,3,Unrel,0,0,0,0,0,0,0
HELMET,A10SRAPSRT9,C,3,Unrel,1,1,1,1,1,1,1
HERMIT,A10SRAPSRT9,C,3,Unrel,1,1,1,1,1,1,1
INDEX,A10SRAPSRT9,C,3,Unrel,0,0,0,0,0,0,0
JAM,A10SRAPSRT9,C,3,Unrel,0,0,0,0,0,0,0
KEG,A10SRAPSRT9,C,3,Unrel,0,0,0,0,0,0,0
LANTERN,A10SRAPSRT9,C,3,Unrel,0,0,0,0,0,0,0
MANUAL,A10SRAPSRT9,C,3,Unrel,0,0,0,0,0,0,0
METEOR,A10SRAPSRT9,C,3,Unrel,0,0,0,0,0,0,0
ORPHAN,A10SRAPSRT9,C,3,Unrel,0,1,1,1,1,1,1
WAX,A10SRAPSRT9,C,3,Unrel,0,0,0,0,0,0,0
WHALE,A10SRAPSRT9,C,3,Unrel,0,0,0,0,0,0,0
ACORN,A10SRAPSRT9,C,4,Unrel,0,0,0,0,0,0,0
ANGEL,A10SRAPSRT9,C,4,Unrel,0,0,0,0,0,0,0
BLOSSOM,A10SRAPSRT9,C,4,Unrel,0,0,0,0,0,0,0
CANE,A10SRAPSRT9,C,4,Unrel,0,0,0,0,0,0,0
CANOE,A10SRAPSRT9,C,4,Unrel,0,0,0,0,0,0,0
CANON,A10SRAPSRT9,C,4,Unrel,0,0,0,0,0,0,0
CREST,A10SRAPSRT9,C,4,Unrel,0,0,0,0,0,0,0
DENTIST,A10SRAPSRT9,C,4,Unrel,1,1,1,1,1,1,1
FARM,A10SRAPSRT9,C,4,Unrel,0,0,0,0,0,0,0
FUNK,A10SRAPSRT9,C,4,Unrel,0,0,0,0,0,0,0
INFANT,A10SRAPSRT9,C,4,Unrel,1,1,1,1,1,1,1
KEROSENE,A10SRAPSRT9,C,4,Unrel,1,1,1,1,1,1,1
MATH,A10SRAPSRT9,C,4,Unrel,1,1,1,1,1,1,1
NUGGET,A10SRAPSRT9,C,4,Unrel,0,0,0,0,0,0,0
OUTLAW,A10SRAPSRT9,C,4,Unrel,1,1,1,1,1,1,1
PINT,A10SRAPSRT9,C,4,Unrel,0,0,0,0,0,0,0
QUICHE,A10SRAPSRT9,C,4,Unrel,0,0,0,0,0,0,0
SOLAR,A10SRAPSRT9,C,4,Unrel,0,0,0,0,0,0,0
VALVE,A10SRAPSRT9,C,4,Unrel,1,1,1,1,1,1,1
VAPOR,A10SRAPSRT9,C,4,Unrel,0,0,0,0,0,0,0
ACRE,A11HVP5RIGS,E,3,Unrel,0,0,0,0,0,0,0
BISHOP,A11HVP5RIGS,E,3,Unrel,0,0,0,0,0,0,0
CANDY,A11HVP5RIGS,E,3,Unrel,1,1,1,1,1,1,1
CANTEEN,A11HVP5RIGS,E,3,Unrel,1,1,1,1,1,1,1
DEBT,A11HVP5RIGS,E,3,Unrel,1,1,1,1,1,1,1
DESERT,A11HVP5RIGS,E,3,Unrel,0,0,0,0,0,0,0
EMPRESS,A11HVP5RIGS,E,3,Unrel,0,0,0,0,0,0,0
EPISODE,A11HVP5RIGS,E,3,Unrel,0,0,0,0,0,0,0
HARVEST,A11HVP5RIGS,E,3,Unrel,1,1,1,1,1,1,1
HELMET,A11HVP5RIGS,E,3,Unrel,0,0,0,0,0,0,0
HERMIT,A11HVP5RIGS,E,3,Unrel,1,1,1,1,1,1,1
INDEX,A11HVP5RIGS,E,3,Unrel,0,0,0,0,0,0,0
JAM,A11HVP5RIGS,E,3,Unrel,0,0,0,0,0,0,0
KEG,A11HVP5RIGS,E,3,Unrel,1,1,1,1,1,1,1
LANTERN,A11HVP5RIGS,E,3,Unrel,0,0,0,0,0,0,0
MANUAL,A11HVP5RIGS,E,3,Unrel,0,0,0,0,0,0,0
METEOR,A11HVP5RIGS,E,3,Unrel,0,0,0,0,0,0,0
ORPHAN,A11HVP5RIGS,E,3,Unrel,0,0,0,0,0,0,0
WAX,A11HVP5RIGS,E,3,Unrel,1,1,1,1,1,1,1
WHALE,A11HVP5RIGS,E,3,Unrel,0,0,0,0,0,0,0
ACORN,A11HVP5RIGS,E,4,Unrel,0,0,0,0,0,0,0
ANGEL,A11HVP5RIGS,E,4,Unrel,1,1,1,1,1,1,1
BLOSSOM,A11HVP5RIGS,E,4,Unrel,0,0,0,0,0,0,0
CANE,A11HVP5RIGS,E,4,Unrel,0,0,0,0,0,0,0
CANOE,A11HVP5RIGS,E,4,Unrel,0,0,0,0,0,0,0
CANON,A11HVP5RIGS,E,4,Unrel,0,0,0,0,0,0,0
CREST,A11HVP5RIGS,E,4,Unrel,0,0,0,0,0,0,0
DENTIST,A11HVP5RIGS,E,4,Unrel,1,1,1,1,1,1,1
FARM,A11HVP5RIGS,E,4,Unrel,1,1,1,1,1,1,1
FUNK,A11HVP5RIGS,E,4,Unrel,0,0,0,0,0,0,0
INFANT,A11HVP5RIGS,E,4,Unrel,0,0,0,0,0,0,0
KEROSENE,A11HVP5RIGS,E,4,Unrel,0,0,0,0,0,0,0
MATH,A11HVP5RIGS,E,4,Unrel,0,0,0,0,0,0,0
NUGGET,A11HVP5RIGS,E,4,Unrel,1,1,1,1,1,1,1
OUTLAW,A11HVP5RIGS,E,4,Unrel,1,1,1,1,1,1,1
PINT,A11HVP5RIGS,E,4,Unrel,1,1,1,1,1,1,1
QUICHE,A11HVP5RIGS,E,4,Unrel,0,0,0,0,0,0,0
SOLAR,A11HVP5RIGS,E,4,Unrel,1,1,1,1,1,1,1
VALVE,A11HVP5RIGS,E,4,Unrel,0,0,0,0,0,0,0
VAPOR,A11HVP5RIGS,E,4,Unrel,1,1,1,1,1,1,1
ACRE,A12GQ323JHYS9Q,A,3,Unrel,0,0,0,0,0,0,0
BISHOP,A12GQ323JHYS9Q,A,3,Unrel,1,1,1,1,1,1,1
CANDY,A12GQ323JHYS9Q,A,3,Unrel,1,1,1,1,1,1,1
CANTEEN,A12GQ323JHYS9Q,A,3,Unrel,1,1,1,1,1,1,1
DEBT,A12GQ323JHYS9Q,A,3,Unrel,1,1,1,1,1,1,1
DESERT,A12GQ323JHYS9Q,A,3,Unrel,1,1,1,1,1,1,1
EMPRESS,A12GQ323JHYS9Q,A,3,Unrel,0,0,0,0,0,0,0
EPISODE,A12GQ323JHYS9Q,A,3,Unrel,1,1,1,1,1,1,1
HARVEST,A12GQ323JHYS9Q,A,3,Unrel,0,0,0,0,0,0,0
