Experiment,Subject,Cue,Target,Response,Manual_Scored,Trial_Num
JOL B,2,Crackle,Able,pop,0,1
JOL B,2,Strong,Accident,hold,0,2
JOL B,2,Star,Actress,actress,1,3
JOL B,2,Valley,Add,,0,4
JOL B,2,Plane,Aircraft,aircraft,1,5
JOL B,2,Number,Amount,divide,0,6
JOL B,2,Due,Assignment,assignment,1,7
JOL B,2,Clothes,Attire,article,0,8
JOL B,2,Law,Attorney,rule,0,9
JOL B,2,Gone,Away,hide,0,10
JOL B,2,Delinquent,Bad,bad,1,11
JOL B,2,Pop,Balloon,ballon,1,12
JOL B,2,Fuzzy,Bang,dog,0,13
JOL B,2,Money,Banker,banker,1,14
JOL B,2,Grill,Bar,bar,1,15
JOL B,2,Honey,Bee,bee,1,16
JOL B,2,Soon,Belt,gone,0,17
JOL B,2,Swan,Bird,bird,1,18
JOL B,2,Fire,Blaze,blaze,1,19
JOL B,2,Wrist,Bracelet,bracelet,1,20
JOL B,2,Fight,Brawl,feud,0,21
JOL B,2,Glass,Breakable,breakable,1,22
JOL B,2,Artery,Bronze,bronze,1,23
JOL B,2,Death,Business,coffin,0,24
JOL B,2,Driver,Car,car,1,25
JOL B,2,Happy,Car,dog,0,26
JOL B,2,Element,Carbon,carbon,1,27
JOL B,2,Credit,Card,card,1,28
JOL B,2,Dark,Cave,cave,1,29
JOL B,2,Wine,Cheese,cheese,1,30
JOL B,2,Baby,Child,loud,0,31
JOL B,2,Mirror,Children,child,1,32
JOL B,2,Hot,Chili,ballon,0,33
JOL B,2,Work,Chore,chore,1,34
JOL B,2,Hygiene,Clean,clean,1,35
JOL B,2,Moat,Clear,,0,36
JOL B,2,Stretch,Cloth,,0,37
JOL B,2,Cake,Clothes,clothes,1,38
JOL B,2,Pusher,Clutter,pull,0,39
JOL B,2,Dead,Coffin,coffin,1,40
JOL B,2,Chill,Cold,cold,1,41
JOL B,2,Bitter,Cold,cold,1,42
JOL B,2,Phone,Communication,communication,1,43
JOL B,2,Herd,Cow,cow,1,44
JOL B,2,Chop,Cut,cut,1,45
JOL B,2,Choice,Decision,decison,1,46
JOL B,2,Architecture,Design,building,0,47
JOL B,2,Math,Division,divide,1,48
JOL B,2,Furry,Dog,dog,1,49
JOL B,2,Paw,Dog,dog,1,50
JOL B,2,Mule,Donkey,donkey,1,51
JOL B,2,Water,Drink,drink,1,52
JOL B,2,Sleep,Drowsy,nap,0,53
JOL B,2,Dine,Eat,dinner,1,54
JOL B,2,Maze,Election,,0,55
JOL B,2,Adjourn,End,end,1,56
JOL B,2,Begin,End,end,1,57
JOL B,2,Full,Enough,empty,0,58
JOL B,2,Rights,Equal,given,0,59
JOL B,2,Hunger,Famine,empty,0,60
JOL B,2,Great,Fantastic,bad,0,61
JOL B,2,Best,Favorite,better,0,62
JOL B,2,Listen,Fiction,hear,0,63
JOL B,2,Feud,Fight,fight,1,64
JOL B,2,Tuna,Fish,fish,1,65
JOL B,2,Turn,Flip,stop,0,66
JOL B,2,Discover,Floor,find,0,67
JOL B,2,Orchid,Flower,flower,1,68
JOL B,2,Shoe,Foot,foot,1,69
JOL B,2,Past,Future,salad,NA,70
JOL B,2,Clue,Game,game,1,71
JOL B,2,Earth,Ground,ground,1,72
JOL B,2,Height,Growth,growth,1,73
JOL B,2,Chisel,Hammer,stone,0,74
