Experiment,Subject,Cue,Target,Response,Manual_Scored,Trial_num
JOL D,120,Love,Affection,affection,1,2
JOL D,120,Tuck,Allow,sew,0,3
JOL D,120,Lonely,Alone,alone,1,4
JOL D,120,Design,Architecture,architecture,1,5
JOL D,120,Lion,Art,king,0,6
JOL D,120,Bronze,Artery,artery,1,7
JOL D,120,Child,Baby,baby,1,8
JOL D,120,Villain,Bad,evil,0,9
JOL D,120,Racket,Ball,ball,1,10
JOL D,120,League,Baseball,baseball,1,11
JOL D,120,Toilet,Bathroom,seat,0,12
JOL D,120,End,Begin,begin,1,13
JOL D,120,Favorite,Best,best,1,14
JOL D,120,Penguin,Bird,bird,1,15
JOL D,120,Wind,Blow,blow,1,17
JOL D,120,Ounce,Both,both,1,18
JOL D,120,Wasp,Bug,bug,1,20
JOL D,120,Wax,Candle,,0,22
JOL D,120,Windshield,Car,car,1,23
JOL D,120,Would,Cash,could,0,24
JOL D,120,Panther,Cat,cat,1,25
JOL D,120,Cold,Chill,,0,27
JOL D,120,Decision,Choice,choice,1,29
JOL D,120,Round,Circle,circle,1,31
JOL D,120,Attire,Clothes,wear,0,32
JOL D,120,Game,Clue,,0,33
JOL D,120,Cave,Dark,dark,1,36
JOL D,120,Coffin,Dead,dead,1,37
JOL D,120,Business,Death,partner,0,38
JOL D,120,Sight,Debate,see,0,39
JOL D,120,Bad,Delinquent,defiant,0,40
JOL D,120,Sacking,Dietary,pack,0,42
JOL D,120,Stomach,Digestion,digestion,1,43
JOL D,120,Floor,Discover,ground,0,45
JOL D,120,Sip,Drink,drink,1,48
JOL D,120,Waste,Dump,time,0,52
JOL D,120,Ground,Earth,,0,54
JOL D,120,Carbon,Element,element,1,56
JOL D,120,Revenge,Even,even,1,57
JOL D,120,Long,Extension,,0,58
JOL D,120,Brawl,Fight,,0,60
JOL D,120,Blaze,Fire,fire,1,61
JOL D,120,Sardine,Fish,fish,1,62
JOL D,120,Hand,Fix,fix,1,63
JOL D,120,Strawberry,Fruit,fruit,1,65
JOL D,120,Enough,Full,full,1,66
JOL D,120,Breakable,Glass,glass,1,71
JOL D,120,Away,Gone,,0,72
JOL D,120,Fantastic,Great,great,1,73
JOL D,120,Bar,Grill,grill,1,74
JOL D,120,Car,Happy,safe,0,75
JOL D,120,Growth,Height,height,1,76
JOL D,120,Sick,Hide,person,0,78
JOL D,120,Truthful,Honest,honest,1,79
JOL D,120,Bee,Honey,honey,1,80
JOL D,120,Chili,Hot,hot,1,82
JOL D,120,Famine,Hunger,hunger,1,83
JOL D,120,Latch,Key,lock,0,87
JOL D,120,Liver,Kidney,kidney,1,89
JOL D,120,Vase,King,king,1,90
JOL D,120,Attorney,Law,law,1,91
JOL D,120,Toil,Lease,,0,92
JOL D,120,Salad,Lettuce,dressing,0,93
JOL D,120,Woman,Lift,lift,1,94
JOL D,120,Sign,Loan,,0,97
JOL D,120,Site,Location,location,1,98
JOL D,120,Position,Machine,leader,0,100
JOL D,120,Jar,Mason,mason,1,101
JOL D,120,Division,Math,math,1,102
JOL D,120,Children,Mirror,,0,105
JOL D,120,Banker,Money,money,1,107
JOL D,120,Hungry,Park,famine,0,113
JOL D,120,Future,Past,past,1,114
JOL D,120,Aircraft,Plane,plane,1,117
JOL D,120,Pilot,Plane,plane,1,118
JOL D,120,Balloon,Pop,pop,1,119
JOL D,120,Soda,Pop,pop,1,120
JOL D,120,Clutter,Pusher,pusher,1,121
JOL D,120,Shave,Razor,razor,1,122
JOL D,120,Equal,Rights,,0,124
JOL D,120,Main,Scar,sew,0,129
JOL D,120,Word,Sentence,write,0,130
JOL D,120,Foot,Shoe,arm,0,133
JOL D,120,Nap,Sleep,sleep,1,135
JOL D,120,Drowsy,Sleep,sleep,1,136
JOL D,120,Stench,Smell,smell,1,137
JOL D,120,Belt,Soon,waist,0,138
JOL D,120,Actress,Star,star,1,139
JOL D,120,Accident,Strong,slow,0,141
JOL D,120,Riddle,Sugar,rattle,0,142
JOL D,120,Seize,Take,take,1,145
JOL D,120,Morning,Temperature,temperature,1,147
JOL D,120,Thimble,Thread,thumb,0,148
JOL D,120,Jury,Trial,trial,1,149
JOL D,120,Flip,Turn,,0,150
JOL D,120,Add,Valley,subtract,0,153
JOL D,120,Money,Wage,bank,0,155
JOL D,120,Drink,Water,,0,156
JOL D,120,Cheese,Wine,wine,1,158
